YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2001,1,AK,Total Electric Power Industry,Coal,"46,903"
2001,1,AK,Total Electric Power Industry,Petroleum,"71,085"
2001,1,AK,Total Electric Power Industry,Natural Gas,"367,521"
2001,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"104,549"
2001,1,AK,Total Electric Power Industry,Wind,87
2001,1,AK,Total Electric Power Industry,Total,"590,145"
2001,1,AK,"Electric Generators, Electric Utilities",Coal,"18,410"
2001,1,AK,"Electric Generators, Electric Utilities",Petroleum,"64,883"
2001,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"305,277"
2001,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"104,549"
2001,1,AK,"Electric Generators, Electric Utilities",Wind,87
2001,1,AK,"Electric Generators, Electric Utilities",Total,"493,206"
2001,1,AK,"Combined Heat and Power, Electric Power",Coal,"19,742"
2001,1,AK,"Combined Heat and Power, Electric Power",Petroleum,213
2001,1,AK,"Combined Heat and Power, Electric Power",Total,"19,955"
2001,1,AK,"Combined Heat and Power, Commercial Power",Coal,"8,751"
2001,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,"1,073"
2001,1,AK,"Combined Heat and Power, Commercial Power",Total,"9,824"
2001,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"4,916"
2001,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"62,244"
2001,1,AK,"Combined Heat and Power, Industrial Power",Total,"67,160"
2001,1,AL,Total Electric Power Industry,Coal,"6,557,913"
2001,1,AL,Total Electric Power Industry,Petroleum,"107,497"
2001,1,AL,Total Electric Power Industry,Natural Gas,"566,478"
2001,1,AL,Total Electric Power Industry,Other Gases,"25,283"
2001,1,AL,Total Electric Power Industry,Nuclear,"2,940,300"
2001,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"727,118"
2001,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"399,474"
2001,1,AL,Total Electric Power Industry,Other Biomass,"1,694"
2001,1,AL,Total Electric Power Industry,Other,885
2001,1,AL,Total Electric Power Industry,Total,"11,326,642"
2001,1,AL,"Electric Generators, Electric Utilities",Coal,"6,483,983"
2001,1,AL,"Electric Generators, Electric Utilities",Petroleum,"70,135"
2001,1,AL,"Electric Generators, Electric Utilities",Natural Gas,"473,253"
2001,1,AL,"Electric Generators, Electric Utilities",Nuclear,"2,940,300"
2001,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"727,118"
2001,1,AL,"Electric Generators, Electric Utilities",Total,"10,694,789"
2001,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,417
2001,1,AL,"Electric Generators, Independent Power Producers",Total,417
2001,1,AL,"Combined Heat and Power, Electric Power",Coal,"25,099"
2001,1,AL,"Combined Heat and Power, Electric Power",Petroleum,35
2001,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,24
2001,1,AL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"22,816"
2001,1,AL,"Combined Heat and Power, Electric Power",Total,"47,974"
2001,1,AL,"Combined Heat and Power, Industrial Power",Coal,"48,831"
2001,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,"37,327"
2001,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,"92,784"
2001,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,"25,283"
2001,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"376,658"
2001,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,"1,694"
2001,1,AL,"Combined Heat and Power, Industrial Power",Other,885
2001,1,AL,"Combined Heat and Power, Industrial Power",Total,"583,462"
2001,1,AR,Total Electric Power Industry,Coal,"2,149,808"
2001,1,AR,Total Electric Power Industry,Petroleum,"124,389"
2001,1,AR,Total Electric Power Industry,Natural Gas,"191,970"
2001,1,AR,Total Electric Power Industry,Nuclear,"1,028,544"
2001,1,AR,Total Electric Power Industry,Hydroelectric Conventional,"272,026"
2001,1,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,"135,977"
2001,1,AR,Total Electric Power Industry,Other Biomass,553
2001,1,AR,Total Electric Power Industry,Other,56
2001,1,AR,Total Electric Power Industry,Total,"3,903,323"
2001,1,AR,"Electric Generators, Electric Utilities",Coal,"2,135,834"
2001,1,AR,"Electric Generators, Electric Utilities",Petroleum,"116,283"
2001,1,AR,"Electric Generators, Electric Utilities",Natural Gas,"151,188"
2001,1,AR,"Electric Generators, Electric Utilities",Nuclear,"1,028,544"
2001,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"272,023"
2001,1,AR,"Electric Generators, Electric Utilities",Total,"3,703,872"
2001,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,3
2001,1,AR,"Electric Generators, Independent Power Producers",Total,3
2001,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas,270
2001,1,AR,"Combined Heat and Power, Commercial Power",Other Biomass,419
2001,1,AR,"Combined Heat and Power, Commercial Power",Total,689
2001,1,AR,"Combined Heat and Power, Industrial Power",Coal,"13,974"
2001,1,AR,"Combined Heat and Power, Industrial Power",Petroleum,"8,106"
2001,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas,"40,512"
2001,1,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"135,977"
2001,1,AR,"Combined Heat and Power, Industrial Power",Other Biomass,134
2001,1,AR,"Combined Heat and Power, Industrial Power",Other,56
2001,1,AR,"Combined Heat and Power, Industrial Power",Total,"198,759"
2001,1,AZ,Total Electric Power Industry,Coal,"3,418,454"
2001,1,AZ,Total Electric Power Industry,Petroleum,"143,626"
2001,1,AZ,Total Electric Power Industry,Natural Gas,"651,812"
2001,1,AZ,Total Electric Power Industry,Nuclear,"2,733,255"
2001,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,"607,969"
2001,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,0
2001,1,AZ,Total Electric Power Industry,Other Biomass,453
2001,1,AZ,Total Electric Power Industry,Pumped Storage,"18,356"
2001,1,AZ,Total Electric Power Industry,Total,"7,573,925"
2001,1,AZ,"Electric Generators, Electric Utilities",Coal,"3,385,613"
2001,1,AZ,"Electric Generators, Electric Utilities",Petroleum,"143,514"
2001,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,"609,804"
2001,1,AZ,"Electric Generators, Electric Utilities",Nuclear,"2,733,255"
2001,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"607,969"
2001,1,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,0
2001,1,AZ,"Electric Generators, Electric Utilities",Other Biomass,0
2001,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,"18,356"
2001,1,AZ,"Electric Generators, Electric Utilities",Total,"7,498,511"
2001,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,"40,812"
2001,1,AZ,"Combined Heat and Power, Electric Power",Total,"40,812"
2001,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,12
2001,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,"1,192"
2001,1,AZ,"Combined Heat and Power, Commercial Power",Other Biomass,453
2001,1,AZ,"Combined Heat and Power, Commercial Power",Total,"1,657"
2001,1,AZ,"Combined Heat and Power, Industrial Power",Coal,"32,841"
2001,1,AZ,"Combined Heat and Power, Industrial Power",Petroleum,100
2001,1,AZ,"Combined Heat and Power, Industrial Power",Natural Gas,4
2001,1,AZ,"Combined Heat and Power, Industrial Power",Total,"32,945"
2001,1,CA,Total Electric Power Industry,Coal,"199,857"
2001,1,CA,Total Electric Power Industry,Petroleum,"459,703"
2001,1,CA,Total Electric Power Industry,Natural Gas,"10,192,494"
2001,1,CA,Total Electric Power Industry,Other Gases,"97,569"
2001,1,CA,Total Electric Power Industry,Nuclear,"2,379,998"
2001,1,CA,Total Electric Power Industry,Hydroelectric Conventional,"1,590,096"
2001,1,CA,Total Electric Power Industry,Wind,"133,423"
2001,1,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,"6,500"
2001,1,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,"313,245"
2001,1,CA,Total Electric Power Industry,Geothermal,"1,085,733"
2001,1,CA,Total Electric Power Industry,Other Biomass,"178,497"
2001,1,CA,Total Electric Power Industry,Pumped Storage,"-36,255"
2001,1,CA,Total Electric Power Industry,Other,"18,027"
2001,1,CA,Total Electric Power Industry,Total,"16,618,887"
2001,1,CA,"Electric Generators, Electric Utilities",Petroleum,"56,442"
2001,1,CA,"Electric Generators, Electric Utilities",Natural Gas,"1,229,547"
2001,1,CA,"Electric Generators, Electric Utilities",Nuclear,"2,379,998"
2001,1,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,539,067"
2001,1,CA,"Electric Generators, Electric Utilities",Wind,160
2001,1,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,29
2001,1,CA,"Electric Generators, Electric Utilities",Geothermal,-45
2001,1,CA,"Electric Generators, Electric Utilities",Other Biomass,"18,428"
2001,1,CA,"Electric Generators, Electric Utilities",Pumped Storage,"-36,255"
2001,1,CA,"Electric Generators, Electric Utilities",Total,"5,187,371"
2001,1,CA,"Electric Generators, Independent Power Producers",Petroleum,"272,408"
2001,1,CA,"Electric Generators, Independent Power Producers",Natural Gas,"5,882,306"
2001,1,CA,"Electric Generators, Independent Power Producers",Other Gases,0
2001,1,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"51,029"
2001,1,CA,"Electric Generators, Independent Power Producers",Wind,"133,263"
2001,1,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"6,471"
2001,1,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"182,078"
2001,1,CA,"Electric Generators, Independent Power Producers",Geothermal,"1,085,778"
2001,1,CA,"Electric Generators, Independent Power Producers",Other Biomass,"134,581"
2001,1,CA,"Electric Generators, Independent Power Producers",Other,"16,604"
2001,1,CA,"Electric Generators, Independent Power Producers",Total,"7,764,518"
2001,1,CA,"Combined Heat and Power, Electric Power",Coal,"156,123"
2001,1,CA,"Combined Heat and Power, Electric Power",Petroleum,"73,191"
2001,1,CA,"Combined Heat and Power, Electric Power",Natural Gas,"1,779,681"
2001,1,CA,"Combined Heat and Power, Electric Power",Other Gases,73
2001,1,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"17,618"
2001,1,CA,"Combined Heat and Power, Electric Power",Other Biomass,"6,997"
2001,1,CA,"Combined Heat and Power, Electric Power",Other,68
2001,1,CA,"Combined Heat and Power, Electric Power",Total,"2,033,751"
2001,1,CA,"Combined Heat and Power, Commercial Power",Petroleum,107
2001,1,CA,"Combined Heat and Power, Commercial Power",Natural Gas,"146,713"
2001,1,CA,"Combined Heat and Power, Commercial Power",Other Biomass,"16,366"
2001,1,CA,"Combined Heat and Power, Commercial Power",Total,"163,186"
2001,1,CA,"Combined Heat and Power, Industrial Power",Coal,"43,734"
2001,1,CA,"Combined Heat and Power, Industrial Power",Petroleum,"57,555"
2001,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas,"1,154,247"
2001,1,CA,"Combined Heat and Power, Industrial Power",Other Gases,"97,496"
2001,1,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"113,549"
2001,1,CA,"Combined Heat and Power, Industrial Power",Other Biomass,"2,125"
2001,1,CA,"Combined Heat and Power, Industrial Power",Other,"1,355"
2001,1,CA,"Combined Heat and Power, Industrial Power",Total,"1,470,061"
2001,1,CO,Total Electric Power Industry,Coal,"3,245,939"
2001,1,CO,Total Electric Power Industry,Petroleum,"20,510"
2001,1,CO,Total Electric Power Industry,Natural Gas,"785,000"
2001,1,CO,Total Electric Power Industry,Hydroelectric Conventional,"111,346"
2001,1,CO,Total Electric Power Industry,Wind,"4,158"
2001,1,CO,Total Electric Power Industry,Other Biomass,"5,160"
2001,1,CO,Total Electric Power Industry,Pumped Storage,"-8,660"
2001,1,CO,Total Electric Power Industry,Other,0
2001,1,CO,Total Electric Power Industry,Total,"4,163,453"
2001,1,CO,"Electric Generators, Electric Utilities",Coal,"3,222,822"
2001,1,CO,"Electric Generators, Electric Utilities",Petroleum,"19,148"
2001,1,CO,"Electric Generators, Electric Utilities",Natural Gas,"316,815"
2001,1,CO,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"109,628"
2001,1,CO,"Electric Generators, Electric Utilities",Wind,"4,158"
2001,1,CO,"Electric Generators, Electric Utilities",Other Biomass,0
2001,1,CO,"Electric Generators, Electric Utilities",Pumped Storage,"-8,660"
2001,1,CO,"Electric Generators, Electric Utilities",Other,0
2001,1,CO,"Electric Generators, Electric Utilities",Total,"3,663,911"
2001,1,CO,"Electric Generators, Independent Power Producers",Natural Gas,"227,251"
2001,1,CO,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"1,718"
2001,1,CO,"Electric Generators, Independent Power Producers",Total,"228,969"
2001,1,CO,"Combined Heat and Power, Electric Power",Coal,"23,117"
2001,1,CO,"Combined Heat and Power, Electric Power",Petroleum,39
2001,1,CO,"Combined Heat and Power, Electric Power",Natural Gas,"221,956"
2001,1,CO,"Combined Heat and Power, Electric Power",Other Biomass,"2,500"
2001,1,CO,"Combined Heat and Power, Electric Power",Total,"247,612"
2001,1,CO,"Combined Heat and Power, Commercial Power",Natural Gas,"14,017"
2001,1,CO,"Combined Heat and Power, Commercial Power",Other Biomass,"2,660"
2001,1,CO,"Combined Heat and Power, Commercial Power",Total,"16,677"
2001,1,CO,"Combined Heat and Power, Industrial Power",Petroleum,"1,323"
2001,1,CO,"Combined Heat and Power, Industrial Power",Natural Gas,"4,961"
2001,1,CO,"Combined Heat and Power, Industrial Power",Total,"6,284"
2001,1,CT,Total Electric Power Industry,Coal,"327,541"
2001,1,CT,Total Electric Power Industry,Petroleum,"923,930"
2001,1,CT,Total Electric Power Industry,Natural Gas,"125,845"
2001,1,CT,Total Electric Power Industry,Other Gases,137
2001,1,CT,Total Electric Power Industry,Nuclear,"1,366,126"
2001,1,CT,Total Electric Power Industry,Hydroelectric Conventional,"37,537"
2001,1,CT,Total Electric Power Industry,Other Biomass,"74,757"
2001,1,CT,Total Electric Power Industry,Pumped Storage,0
2001,1,CT,Total Electric Power Industry,Other,"74,561"
2001,1,CT,Total Electric Power Industry,Total,"2,930,434"
2001,1,CT,"Electric Generators, Electric Utilities",Petroleum,"1,065"
2001,1,CT,"Electric Generators, Electric Utilities",Natural Gas,0
2001,1,CT,"Electric Generators, Electric Utilities",Nuclear,"1,366,126"
2001,1,CT,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"14,562"
2001,1,CT,"Electric Generators, Electric Utilities",Other Biomass,"16,824"
2001,1,CT,"Electric Generators, Electric Utilities",Other,"12,691"
2001,1,CT,"Electric Generators, Electric Utilities",Total,"1,411,268"
2001,1,CT,"Electric Generators, Independent Power Producers",Coal,"201,266"
2001,1,CT,"Electric Generators, Independent Power Producers",Petroleum,"919,818"
2001,1,CT,"Electric Generators, Independent Power Producers",Natural Gas,"48,288"
2001,1,CT,"Electric Generators, Independent Power Producers",Other Gases,137
2001,1,CT,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"22,975"
2001,1,CT,"Electric Generators, Independent Power Producers",Other Biomass,"57,934"
2001,1,CT,"Electric Generators, Independent Power Producers",Pumped Storage,0
2001,1,CT,"Electric Generators, Independent Power Producers",Other,"61,869"
2001,1,CT,"Electric Generators, Independent Power Producers",Total,"1,312,287"
2001,1,CT,"Combined Heat and Power, Electric Power",Coal,"126,275"
2001,1,CT,"Combined Heat and Power, Electric Power",Petroleum,336
2001,1,CT,"Combined Heat and Power, Electric Power",Natural Gas,"63,643"
2001,1,CT,"Combined Heat and Power, Electric Power",Total,"190,254"
2001,1,CT,"Combined Heat and Power, Commercial Power",Petroleum,340
2001,1,CT,"Combined Heat and Power, Commercial Power",Natural Gas,"1,914"
2001,1,CT,"Combined Heat and Power, Commercial Power",Total,"2,254"
2001,1,CT,"Combined Heat and Power, Industrial Power",Petroleum,"2,371"
2001,1,CT,"Combined Heat and Power, Industrial Power",Natural Gas,"12,000"
2001,1,CT,"Combined Heat and Power, Industrial Power",Total,"14,371"
2001,1,DC,Total Electric Power Industry,Petroleum,"9,251"
2001,1,DC,Total Electric Power Industry,Total,"9,251"
2001,1,DC,"Electric Generators, Independent Power Producers",Petroleum,"9,251"
2001,1,DC,"Electric Generators, Independent Power Producers",Total,"9,251"
2001,1,DE,Total Electric Power Industry,Coal,"474,117"
2001,1,DE,Total Electric Power Industry,Petroleum,"132,408"
2001,1,DE,Total Electric Power Industry,Natural Gas,"7,062"
2001,1,DE,Total Electric Power Industry,Other Gases,"12,552"
2001,1,DE,Total Electric Power Industry,Total,"626,139"
2001,1,DE,"Electric Generators, Electric Utilities",Coal,"347,571"
2001,1,DE,"Electric Generators, Electric Utilities",Petroleum,"24,897"
2001,1,DE,"Electric Generators, Electric Utilities",Natural Gas,650
2001,1,DE,"Electric Generators, Electric Utilities",Total,"373,118"
2001,1,DE,"Electric Generators, Independent Power Producers",Coal,"118,905"
2001,1,DE,"Electric Generators, Independent Power Producers",Petroleum,"80,021"
2001,1,DE,"Electric Generators, Independent Power Producers",Natural Gas,"6,412"
2001,1,DE,"Electric Generators, Independent Power Producers",Total,"205,338"
2001,1,DE,"Combined Heat and Power, Industrial Power",Coal,"7,641"
2001,1,DE,"Combined Heat and Power, Industrial Power",Petroleum,"27,490"
2001,1,DE,"Combined Heat and Power, Industrial Power",Other Gases,"12,552"
2001,1,DE,"Combined Heat and Power, Industrial Power",Total,"47,683"
2001,1,FL,Total Electric Power Industry,Coal,"6,721,861"
2001,1,FL,Total Electric Power Industry,Petroleum,"4,496,351"
2001,1,FL,Total Electric Power Industry,Natural Gas,"2,203,652"
2001,1,FL,Total Electric Power Industry,Other Gases,9
2001,1,FL,Total Electric Power Industry,Nuclear,"2,942,999"
2001,1,FL,Total Electric Power Industry,Hydroelectric Conventional,"7,830"
2001,1,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,"163,756"
2001,1,FL,Total Electric Power Industry,Other Biomass,"170,974"
2001,1,FL,Total Electric Power Industry,Other,"229,849"
2001,1,FL,Total Electric Power Industry,Total,"16,937,281"
2001,1,FL,"Electric Generators, Electric Utilities",Coal,"6,266,599"
2001,1,FL,"Electric Generators, Electric Utilities",Petroleum,"4,362,808"
2001,1,FL,"Electric Generators, Electric Utilities",Natural Gas,"1,660,211"
2001,1,FL,"Electric Generators, Electric Utilities",Nuclear,"2,942,999"
2001,1,FL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"7,830"
2001,1,FL,"Electric Generators, Electric Utilities",Other Biomass,"9,484"
2001,1,FL,"Electric Generators, Electric Utilities",Other,"1,390"
2001,1,FL,"Electric Generators, Electric Utilities",Total,"15,251,321"
2001,1,FL,"Electric Generators, Independent Power Producers",Petroleum,"106,294"
2001,1,FL,"Electric Generators, Independent Power Producers",Natural Gas,"80,070"
2001,1,FL,"Electric Generators, Independent Power Producers",Other Gases,9
2001,1,FL,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"19,767"
2001,1,FL,"Electric Generators, Independent Power Producers",Other Biomass,"143,217"
2001,1,FL,"Electric Generators, Independent Power Producers",Other,"108,117"
2001,1,FL,"Electric Generators, Independent Power Producers",Total,"457,474"
2001,1,FL,"Combined Heat and Power, Electric Power",Coal,"426,506"
2001,1,FL,"Combined Heat and Power, Electric Power",Petroleum,0
2001,1,FL,"Combined Heat and Power, Electric Power",Natural Gas,"372,617"
2001,1,FL,"Combined Heat and Power, Electric Power",Other Biomass,480
2001,1,FL,"Combined Heat and Power, Electric Power",Other,362
2001,1,FL,"Combined Heat and Power, Electric Power",Total,"799,965"
2001,1,FL,"Combined Heat and Power, Commercial Power",Natural Gas,"5,850"
2001,1,FL,"Combined Heat and Power, Commercial Power",Other Biomass,"3,918"
2001,1,FL,"Combined Heat and Power, Commercial Power",Total,"9,768"
2001,1,FL,"Combined Heat and Power, Industrial Power",Coal,"28,756"
2001,1,FL,"Combined Heat and Power, Industrial Power",Petroleum,"27,249"
2001,1,FL,"Combined Heat and Power, Industrial Power",Natural Gas,"84,904"
2001,1,FL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"143,989"
2001,1,FL,"Combined Heat and Power, Industrial Power",Other Biomass,"13,875"
2001,1,FL,"Combined Heat and Power, Industrial Power",Other,"119,980"
2001,1,FL,"Combined Heat and Power, Industrial Power",Total,"418,753"
2001,1,GA,Total Electric Power Industry,Coal,"7,258,909"
2001,1,GA,Total Electric Power Industry,Petroleum,"217,585"
2001,1,GA,Total Electric Power Industry,Natural Gas,"77,667"
2001,1,GA,Total Electric Power Industry,Nuclear,"3,064,367"
2001,1,GA,Total Electric Power Industry,Hydroelectric Conventional,"239,920"
2001,1,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,"258,328"
2001,1,GA,Total Electric Power Industry,Other Biomass,"2,206"
2001,1,GA,Total Electric Power Industry,Pumped Storage,"-35,515"
2001,1,GA,Total Electric Power Industry,Other,615
2001,1,GA,Total Electric Power Industry,Total,"11,084,082"
2001,1,GA,"Electric Generators, Electric Utilities",Coal,"7,151,277"
2001,1,GA,"Electric Generators, Electric Utilities",Petroleum,"89,920"
2001,1,GA,"Electric Generators, Electric Utilities",Natural Gas,"1,913"
2001,1,GA,"Electric Generators, Electric Utilities",Nuclear,"3,064,367"
2001,1,GA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"237,618"
2001,1,GA,"Electric Generators, Electric Utilities",Pumped Storage,"-35,515"
2001,1,GA,"Electric Generators, Electric Utilities",Total,"10,509,580"
2001,1,GA,"Electric Generators, Independent Power Producers",Petroleum,"31,262"
2001,1,GA,"Electric Generators, Independent Power Producers",Natural Gas,"28,207"
2001,1,GA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,161
2001,1,GA,"Electric Generators, Independent Power Producers",Other Biomass,"1,420"
2001,1,GA,"Electric Generators, Independent Power Producers",Total,"61,050"
2001,1,GA,"Combined Heat and Power, Electric Power",Petroleum,"1,791"
2001,1,GA,"Combined Heat and Power, Electric Power",Natural Gas,"7,545"
2001,1,GA,"Combined Heat and Power, Electric Power",Total,"9,336"
2001,1,GA,"Combined Heat and Power, Commercial Power",Petroleum,358
2001,1,GA,"Combined Heat and Power, Commercial Power",Natural Gas,0
2001,1,GA,"Combined Heat and Power, Commercial Power",Total,358
2001,1,GA,"Combined Heat and Power, Industrial Power",Coal,"107,632"
2001,1,GA,"Combined Heat and Power, Industrial Power",Petroleum,"94,254"
2001,1,GA,"Combined Heat and Power, Industrial Power",Natural Gas,"40,002"
2001,1,GA,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"2,141"
2001,1,GA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"258,328"
2001,1,GA,"Combined Heat and Power, Industrial Power",Other Biomass,786
2001,1,GA,"Combined Heat and Power, Industrial Power",Other,615
2001,1,GA,"Combined Heat and Power, Industrial Power",Total,"503,758"
2001,1,HI,Total Electric Power Industry,Coal,"134,161"
2001,1,HI,Total Electric Power Industry,Petroleum,"725,556"
2001,1,HI,Total Electric Power Industry,Natural Gas,0
2001,1,HI,Total Electric Power Industry,Other Gases,"3,980"
2001,1,HI,Total Electric Power Industry,Hydroelectric Conventional,"6,613"
